Date,week_day,hour,state,road_id,km,city,cause_of_accident,type_of_accident,victims_condition,weather_timestamp,road_direction,wheather_condition,road_type,road_delineation,people,deaths,slightly_injured,severely_injured,uninjured,ignored,total_injured,vehicles_involved,latitude,longitude,regional,police_station
08/25/2023,friday,8:40:00 PM,MG,116,415,GOVERNADOR VALADARES,Acessing the road without seeing the presence of other vehicles,Broadside collision,Without victims,Night,Increasing,Cloudy,Simple,Authorized U-turn,2,0,0,0,2,0,0,2,-18.88401,-41.94924,SPRF-MG,DEL06-MG
08/25/2023,friday,8:30:00 PM,MG,116,"696,9",MURIAE,Driver's lack of reaction,Run-off-road,With injured victims,Night,Decreasing,Clear sky,Simple,Curve,29,0,5,0,24,0,5,1,-21.07986,-42.37407,SPRF-MG,DEL07-MG
08/25/2023,friday,10:10:00 PM,DF,70,"13,1",BRASILIA,Slippery track,Fall of vehicle occupant,With injured victims,Night,Increasing,Rainy,Double,Roundabout,1,0,1,0,0,0,1,1,-15.79456,-48.16658,SPRF-DF,DEL01-DF
08/25/2023,friday,10:10:00 PM,PR,277,721,FOZ DO IGUACU,Acessing the road without seeing the presence of other vehicles,Broadside collision,With injured victims,Night,Decreasing,Clear sky,Double,Intersection,3,0,2,0,1,0,2,3,-25.49115,-54.51185,SPRF-PR,DEL05-PR
08/25/2023,friday,9:30:00 PM,BA,101,900,CARAVELAS,Pedestrian was walking in the road,Pedestrian collision,With injured victims,Night,Increasing,Cloudy,Simple,Straight,2,0,0,2,0,0,2,1,-17.73879,-39.76607,SPRF-BA,DEL09-BA
08/25/2023,friday,9:30:00 PM,PR,116,153,MANDIRITUBA,Alcohol ingestion by the driver,Collision with object,Without victims,Night,Increasing,Cloudy,Simple,Not Reported,1,0,0,0,1,0,0,1,-25.86847,-49.36556,SPRF-PR,DEL01-PR
08/25/2023,friday,9:15:00 PM,BA,116,"12,3",VITORIA DA CONQUISTA,Acessing the road without seeing the presence of other vehicles,Broadside collision,With injured victims,Night,Decreasing,Clear sky,Simple,Straight,3,0,2,0,1,0,2,2,-14.87747,-40.87117,SPRF-BA,DEL08-BA
08/25/2023,friday,9:45:00 PM,PR,277,686,SAO MIGUEL DO IGUACU,Driver failed to keep distance from the vehicle in front,Rear-end collision,With injured victims,Night,Increasing,Clear sky,Double,Not Reported,2,0,0,2,0,0,2,2,-25.33976,-54.21578,SPRF-PR,DEL05-PR
08/25/2023,friday,10:30:00 PM,RS,290,127,ELDORADO DO SUL,Animals on the road,Side collision (same direction),With injured victims,Night,Increasing,Cloudy,Simple,Straight,4,0,1,0,3,0,1,2,-30.05642,-51.47967,SPRF-RS,DEL02-RS
08/25/2023,friday,11:25:00 PM,DF,70,18,BRASILIA,Driver's lack of reaction,Run-off-road,With injured victims,Night,Increasing,Drizzle,Double,Straight,1,0,1,0,0,0,1,1,-15.79109,-48.21096,SPRF-DF,DEL01-DF
08-07-2023,monday,7:50:00 AM,AP,210,2,MACAPA,Prohibited conversion,Side collision (same direction),With injured victims,Day,Decreasing,Clear sky,Simple,Not Reported,3,0,2,0,0,1,2,2,0.08282017,-51.07776,SPRF-AP,N/A
08/25/2023,friday,11:20:00 PM,GO,153,439,ANAPOLIS,Alcohol ingestion by the driver,Overturn,With injured victims,Night,Increasing,Clear sky,Double,Not Reported,1,0,0,1,0,0,1,1,-16.29853,-48.92821,SPRF-GO,DEL02-GO
08/25/2023,friday,11:00:00 PM,PR,153,41,SANTO ANTONIO DA PLATINA,Alcohol ingestion by the driver,Run-off-road,Without victims,Night,Increasing,Rainy,Simple,Straight,1,0,0,0,1,0,0,1,-23.29033,-50.06095,SPRF-PR,DEL07-PR
08/25/2023,friday,7:50:00 PM,GO,40,"124,5",CRISTALINA,Driver's lack of reaction,Run-off-road,With injured victims,Night,Increasing,Clear sky,Double,Curve,4,0,3,0,1,0,3,1,-16.8689,-47.3865,SPRF-DF,DEL01-DF
08/25/2023,friday,11:00:00 PM,DF,60,0,BRASILIA,Acessing the road without seeing the presence of other vehicles,Chain reaction crash (pile-up),With injured victims,Night,Increasing,Cloudy,Double,Not Reported,3,0,1,0,1,1,1,3,-15.8825,-48.06021,SPRF-DF,DEL01-DF
08/25/2023,friday,9:15:00 PM,SC,470,"65,2",INDAIAL,Unexpected pedestrian entry,Pedestrian collision,With dead victims,Night,Increasing,Cloudy,Simple,Not Reported,2,1,1,0,0,0,1,1,-26.87052,-49.2138,SPRF-SC,DEL04-SC
08/25/2023,friday,8:28:00 PM,RO,364,"425,9",JARU,Acessing the road without seeing the presence of other vehicles,Side collision (same direction),With injured victims,Night,Increasing,Clear sky,Simple,Not Reported,5,0,0,1,4,0,1,2,-10.43752,-62.4717,SPRF-RO,DEL03-RO
08/25/2023,friday,10:40:00 PM,DF,20,16,BRASILIA,Slippery track,Run-off-road,With injured victims,Night,Increasing,Drizzle,Double,Not Reported,3,0,0,1,2,0,1,3,-15.62567,-47.72516,SPRF-DF,DEL02-DF
08/25/2023,friday,6:10:00 PM,PB,230,"453,5",SOUSA,Driver's lack of reaction,Overturn,With injured victims,Night,Increasing,Clear sky,Simple,Straight,3,0,2,1,0,0,3,1,-6.780736,-38.15523,SPRF-PB,DEL03-PB
